W;Achfawar;;Speere und Stäbe											;1W+4;13/4;-1/0;0;4;S;;Speere;
W;Byakka;byakka00_LQ.gif;Hiebwaffen                                     ;1W+5;14/2;0/-2;-1;3;N;;Hiebwaffen;
W;Fackel;;Hiebwaffen                                        ;1W;11/5;-2/-3;-2;8;HN;;Hiebwaffen;
W;Fleischerbeil;;Hiebwaffen                                 ;1W+2;11/4;-2/-3;-1;2;H;;Hiebwaffen;
W;Haumesser;haumesser00_LQ.gif;Hiebwaffen                               ;1W+3;13/3;0/-2;-1;3;HN;;Hiebwaffen;Säbel;
W;Keule;keule00_LQ.gif;Hiebwaffen                                       ;1W+2;11/3;0/-2;0;3;N;;Hiebwaffen;
W;Knüppel;;Hiebwaffen                                       ;1W+1;11/4;0/-2;0;6;N;;Hiebwaffen;
W;Lindwurmschläger;lindwurmschlaeger00_LQ.gif;Hiebwaffen                ;1W+4;11/3;0/-1;-1;1;HN;;Hiebwaffen;
W;Molokdeschnaja;;Hiebwaffen                                ;1W+4;11/3;0/0;0;3;N;;Hiebwaffen;
W;Rabenschnabel;rabenschnabel00_LQ.gif;Hiebwaffen                       ;1W+4;10/4;0/0;0;3;38,;;Hiebwaffen;
W;Rabenschnabel (Boron);rabenschnabel00_LQ.gif;Hiebwaffen               ;1W+4;10/4;0/0;0;3;38,;;Hiebwaffen;
W;Schmiedehammer;;Hiebwaffen                                ;1W+4;14/2;-1/-1;-1;1;N;;Hiebwaffen;
W;Sichel;sichel00_LQ.gif;Hiebwaffen                                     ;1W+2;12/5;-2/-2;-2;6;H;;Hiebwaffen;
W;Skraja;skraja00_LQ.gif;Hiebwaffen                                     ;1W+3;11/3;0/0;0;4;N;;Hiebwaffen;
W;Sonnenzepter;;Hiebwaffen                                  ;1W+3;12/3;-1/-1;0;1;N;;Hiebwaffen;
W;Streitaxt;streitaxt00_LQ.gif;Hiebwaffen                               ;1W+4;13/2;0/-1;0;2;N;;Hiebwaffen;
W;Streitkolben;streitkolben00_LQ.gif;Hiebwaffen                         ;1W+4;11/3;0/-1;0;1;N;;Hiebwaffen;
W;Stuhlbein;;Hiebwaffen                                     ;1W;11/5;-1/-1;-1;8;HN;;Hiebwaffen;
W;Zwergenskraja;;Hiebwaffen                                 ;1W+3;11/3;0/0;0;1;N;;Hiebwaffen;
W;Glefe;glefe00_LQ.gif;Infanteriewaffen                                 ;1W+4;13/3;0/-2;-1;5;S;;Infanteriewaffen;
W;Hakenspieß;;Infanteriewaffen                              ;1W+3;13/4;-1/-1;0;5;S;z;Infanteriewaffen;
W;Hellebarde;hellebarde00_LQ.gif;Infanteriewaffen                       ;1W+5;12/3;0/-1;0;5;S;z;Infanteriewaffen;
W;Korspieß;korspiess00_LQ.gif;Infanteriewaffen                          ;2W+2;12/3;0/-1;0;3;S;z;Infanteriewaffen;Speere;
W;Neethaner Langaxt;;Infanteriewaffen                       ;2W+2;13/4;-1/-3;-2;5;S;z;Infanteriewaffen;Zweihandhiebwaffen;
W;Pailos;;Infanteriewaffen                                  ;2W+4;14/2;-1/-3;-2;3;S;z;Infanteriewaffen;Zweihandhiebwaffen;
W;Partisane;partisane00_LQ.gif;Infanteriewaffen                         ;1W+5;13/3;0/-2;0;4;S;z;Infanteriewaffen;Speere;
W;Sense;;Infanteriewaffen                                   ;1W+3;13/4;-2/-4;-2;7;S;z;Infanteriewaffen;
W;Sturmsense;;Infanteriewaffen                              ;1W+4;13/3;-1/-2;-1;5;S;z;Infanteriewaffen;
W;Warunker Hammer;;Infanteriewaffen                         ;1W+6;14/3;0/-1;-1;2;NS;z;Infanteriewaffen;Zweihandhiebwaffen;
W;Kettenstab;;Kettenstäbe                                   ;1W+2;13/4;1/0;2;2;HN;z;Kettenstäbe;
W;Geißel;geissel00_LQ.gif;Kettenwaffen                      ;1W-1;14/5;0/-4;-1;5;N;;Kettenwaffen;
W;Morgenstern;morgenstern00_LQ.gif;Kettenwaffen                         ;1W+5;14/2;-1/-2;-1;2;N;;Kettenwaffen;
W;Neunschwänzige;;Kettenwaffen                              ;1W+1;14/4;-1/-4;-1;5;N;;Kettenwaffen;
W;Ochsenherde;ochsenherde00_LQ.gif;Kettenwaffen                         ;3W+3;17/1;-2/-4;-3;3;N;;Kettenwaffen;
W;Ogerschelle;ogerschelle00_LQ.gif;Kettenwaffen                         ;2W+2;15/1;-1/-3;-2;3;N;;Kettenwaffen;
W;Peitsche;peitsche00_LQ.gif;Kettenwaffen                               ;1W;14/5;0/-;0;4;S;;Peitsche;
W;(Lang-)Schwert;langschwert00_LQ.gif;Schwerter                         ;1W+4;11/4;0/0;0;1;N;;Schwerter;
W;Arbach;;Schwerter                                         ;1W+4;12/3;0/-1;0;2;N;;Säbel;Schwerter;
W;Barbarenschwert;;Schwerter                                ;1W+5;12/3;0/-1;-1;4;N;;Schwerter;
W;Breitschwert;breitschwert00_LQ.gif;Schwerter                          ;1W+4;12/3;0/-1;0;1;N;;Schwerter;
W;Kurzschwert;kurzschwert00_LQ.gif;Schwerter                            ;1W+2;11/4;0/-1;0;1;HN;;Dolche;Säbel;Schwerter;
W;Robbentöter;;Schwerter                                    ;1W+3;12/4;0/0;0;2;N;;Fechtwaffen;Säbel;Schwerter;
W;Turnierschwert;;Schwerter                                 ;1W+3A;11/5;0/0;0;3;N;;Schwerter;
W;Drachentöter;;Speere und Stäbe                            ;3W+5;20/1;-2/-4;-3;3;P;;Speere;
W;Drakoniterstab;draconiterstab00_LQ.gif;Speere und Stäbe               ;1W+1;12/4;0/0;1;5;NS;z;Stäbe;
W;Dreizack;;Speere und Stäbe                                ;1W+4;13/3;0/-1;0;5;S;z;Speere;
W;Dschadra;dschadra00_LQ.gif;Speere und Stäbe                           ;1W+5;12/4;0/-3;-1;6;S;;Speere;
W;Efferdbart;efferdbart00_LQ.gif;Speere und Stäbe                       ;1W+4;13/3;0/-1;0;3;NS;;Speere;
W;Jagdspieß;;Speere und Stäbe                               ;1W+6;12/4;0/-1;-1;3;S;;Speere;
W;Kampfstab;kampfstab00_LQ.gif;Speere und Stäbe                         ;1W+1;12/4;0/0;1;5;NS;z;Stäbe;
W;Kriegslanze;lanze_krieg00_LQ.gif;Speere und Stäbe                     ;1W+3;12/5;-2/-4;-2;5;P;;Speere;
W;Magierstab;magierstab00_LQ.gif;Speere und Stäbe                       ;1W+1;11/5;-1/-1;0;-9;NS;;Stäbe;
W;Magierstab (kurz);magierstab00_LQ.gif;Speere und Stäbe                ;1W;11/4;-1/-1;0;-9;N;;Hiebwaffen;
W;Magierstab (sehr kurz);magierstab00_LQ.gif;Speere und Stäbe           ;1W+1;11/5;-1/-1;-1;-9;NS;;Hiebwaffen;
W;Magierstab als Stab;magierstab00_LQ.gif;Speere und Stäbe              ;1W+1;11/5;-1/-1;0;-9;NS;;Stäbe;
W;Magierstab mit Kristallk.;magierstab00_LQ.gif;Speere und Stäbe        ;1W+1;11/4;-1/-1;-2;-9;N;;Zweihandhiebwaffen;
W;Pike;;Speere und Stäbe                                    ;1W+5;14/4;-1/-2;-2;6;P;z;Speere;
W;Speer;speer00_LQ.gif;Speere und Stäbe                                 ;1W+5;12/4;0/-2;-1;5;S;z;Speere;
W;Stoßspeer;;Speere und Stäbe                               ;2W+2;11/4;0/-1;-1;3;S;z;Speere;
W;Turnierlanze;lanze_turnier00_LQ.gif;Speere und Stäbe                  ;1W+2A;12/5;-2/-4;-2;8;P;;Speere;
W;Wurmspieß;;Speere und Stäbe                               ;1W+5;13/4;0/-2;0;2;S;;Infanteriewaffen;Speere;
W;Zweililien;zweililien00_LQ.gif;Speere und Stäbe                       ;1W+3;12/4;1/-1;1;4;NS;z;Stäbe;
D;Blasrohr;blasrohr00_LQ.gif;Schusswaffen                               ;1W-1;(2/5/10/20/40);(0/0/0/0/-2);Blasrohr;
W;Amazonensäbel;amazonensaebel00_LQ.gif;Säbel                           ;1W+4;11/4;0/0;1;2;N;;Säbel;Schwerter;
W;Entermesser;entermesser00_LQ.gif;Säbel                                ;1W+3;12/4;0/0;0;2;N;;Säbel;
W;Khunchomer;khunchumer00_LQ.gif;Säbel                                  ;1W+4;12/3;0/0;0;2;N;;Säbel;
W;Kusliker Säbel;saebel_kusliker00_LQ.gif;Säbel                         ;1W+3;12/4;0/0;1;1;N;;Säbel;Schwerter;
W;Säbel;saebel00_LQ.gif;Säbel                                           ;1W+3;12/4;0/0;1;2;N;;Säbel;Schwerter;
W;Drachenklaue;;Waffenlos                                   ;1W+2;12/3;0/0;-1;0;H;;Raufen;
W;Hruruzat;;Waffenlos                                       ;2WA;10/3;0/0;0;-;H;;Raufen;
W;Hruruzat gegen Waffe;;Waffenlos                           ;2WA;10/3;-1/-2;0;-;H;;Raufen;
W;Orchidee;;Waffenlos                                       ;1W+1;12/5;-1/-2;0;3;H;;Raufen;
W;Raufen;;Waffenlos                                         ;1WA;10/3;0/0;0;-;H;;Raufen;
W;Raufen gegen Waffe;;Waffenlos                             ;1WA;10/3;-1/-2;0;-;H;;Raufen;
W;Ringen;;Waffenlos                                         ;1WA;10/3;0/0;0;-;H;;Ringen;
W;Ringen gegen Waffe;;Waffenlos                             ;1WA;10/3;-1/-2;0;-;H;;Ringen;
W;Schlagring;;Waffenlos                                     ;1W+2A;10/3;-1/-2;0;0;H;;Raufen;
W;Veteranenhand;;Waffenlos                                  ;1W+2;12/4;0/-1;-1;4;H;;Raufen;
W;Barbarenstreitaxt;barbarenstreitaxt00_LQ.gif;Zweihandhiebwaffen und -flegel;3W+2;15/1;-1/-4;-2;3;N;z;Zweihandhiebwaffen;
W;Dreschflegel;dreschflegel00_LQ.gif;Zweihandhiebwaffen und -flegel     ;1W+3;12/3;-2/-3;-2;6;S;z;Zweihandflegel;
W;Echsische Axt;;Zweihandhiebwaffen und -flegel             ;1W+5;12/4;0/-1;0;3;NS;z;Zweihandhiebwaffen;
W;Felsspalter;felsspalter00_LQ.gif;Zweihandhiebwaffen und -flegel       ;2W+2;14/2;0/-2;-1;2;N;z;Zweihandhiebwaffen;
W;Gruufhai;;Zweihandhiebwaffen und -flegel                  ;1W+6;14/2;-1/-3;-2;3;N;z;Zweihandhiebwaffen;
W;Holzfälleraxt;holzfaelleraxt00_LQ.gif;Zweihandhiebwaffen und -flegel  ;2W;12/2;-1/-4;-2;5;N;z;Zweihandhiebwaffen;
W;Kriegsflegel;;Zweihandhiebwaffen und -flegel              ;1W+6;12/2;-1/-2;-1;5;S;z;Zweihandflegel;
W;Kriegshammer;kriegshammer00_LQ.gif;Zweihandhiebwaffen und -flegel     ;2W+3;14/2;-1/-3;-2;2;N;z;Zweihandhiebwaffen;
W;Orknase;orknase00_LQ.gif;Zweihandhiebwaffen und -flegel               ;1W+5;12/2;0/-1;-1;4;N;z;Zweihandhiebwaffen;
W;Orknase[einhändig];orknase00_LQ.gif;Zweihandhiebwaffen und -flegel    ;1W+5;13/3;0/-1;-1;4;N;;Hiebwaffen;Zweihandhiebwaffen;
W;Schnitter;;Zweihandhiebwaffen und -flegel                 ;1W+5;14/4;0/0;0;4;NS;z;Infanteriewaffen;Speere;Zweihandhiebwaffen;
W;Spitzhacke;;Zweihandhiebwaffen und -flegel                ;1W+6;13/2;-2/-4;-3;5;N;z;Zweihandhiebwaffen;
W;Vorschlaghammer;;Zweihandhiebwaffen und -flegel           ;1W+5;13/2;-2/-4;-3;5;N;z;Zweihandhiebwaffen;
W;Zwergenschlägel;;Zweihandhiebwaffen und -flegel           ;1W+5;13/3;0/-1;-1;1;N;z;Zweihandhiebwaffen;
W;Andergaster;andergaster00_LQ.gif;Zweihandschwerter und -säbel         ;3W+2;14/2;0/-2;-3;3;S;z;Zweihandschwerter;
W;Boronsichel;;Zweihandschwerter und -säbel                 ;2W+6;13/3;0/-3;-2;3;S;z;Zweihandschwerter;
W;Doppelkhunchomer;;Zweihandschwerter und -säbel            ;1W+6;13/2;0/-2;-2;3;NS;z;Zweihandschwerter;
W;Großer Sklaventod;;Zweihandschwerter und -säbel           ;2W+4;13/2;0/-2;-2;2;NS;z;Zweihandschwerter;
W;Richtschwert;;Zweihandschwerter und -säbel                ;3W+4;13/2;-2/-4;-3;5;N;z;Zweihandschwerter;
W;Zweihänder;zweihaender00_LQ.gif;Zweihandschwerter und -säbel          ;2W+4;12/3;0/-1;-1;2;NS;z;Zweihandschwerter;

D;Bauchspanner-Armbrust;;Schusswaffen									;2W+4;(15/30/70/120/200);(+4/+2/0/-1/-2);Armbrust;
D;Gandrasch-Armbrust, doppelt;;Schusswaffen								;2W+8;(10/25/50/100/150);(+2/+1/0/0/0);Armbrust;
D;Gandrasch-Armbrust, einfach;;Schusswaffen								;2W+2;(5/15/25/40/60);(+1/0/0/0/0);Armbrust;
D;Jagddiskus;;Wurfwaffen												;2W+4;(5/10/20/30/60);(+1/0/0/0-1);Armbrust;
D;Palta;;Wurfwaffen														;1W+4;(5/10/15/25/40);(+3/+2/+1/0/0);Wurfspeere;


D;Arbalette;arbalette00_LQ.gif;Schusswaffen                             ;2W+5;(10/20/30/60/100);(+2/+1/0/-1/-2);Armbrust;
D;Arbalone;;Schusswaffen                                    ;3W+6;(15/30/60/120/250);(+4/+2/0/-1/-3);Armbrust;
D;Balestra;;Schusswaffen                                    ;2W+2;(10/20/30/50/75);(+2/+1/0/0/-1);Armbrust;
D;Balestrina;;Schusswaffen                                  ;1W+4;(2/4/8/15/25);(+2/+1/0/0/-1);Armbrust;
D;Balläster;;Schusswaffen                                   ;1W+4;(10/20/30/60/100);(+3/+1/0/-1/-1);Armbrust;
D;Eisenwalder;;Schusswaffen                                 ;;1W+3;(5/10/15/20/40);Armbrust;
D;Elfenbogen;langbogen00_LQ.gif;Schusswaffen                            ;1W+5;(10/25/50/100/200);(+3/+2/+1/+1/0);Bogen;
D;Kompositbogen;kompositbogen00_LQ.gif;Schusswaffen                     ;1W+5;(10/20/35/50/80);(+2/+1/+1/0/0);Bogen;
D;Kriegsbogen;;Schusswaffen                                 ;1W+7;(10/20/40/80/150);(+3/+2/+1/0/0);Bogen;
D;Kurzbogen;kurzbogen00_LQ.gif;Schusswaffen                             ;1W+4;(5/15/25/40/60);(+1/+1/0/0/-1);Bogen;
D;Langbogen;langbogen00_LQ.gif;Schusswaffen                             ;1W+6;(10/25/50/100/200);(+3/+2/+1/0/-1);Bogen;
D;Leichte Armbrust;armbrust_leicht00_LQ.gif;Schusswaffen                ;1W+6;(10/15/25/40/60);(+1/+1/0/0/-1);Armbrust;
D;Orkischer Reiterbogen;;Schusswaffen                       ;1W+5;(5/15/30/60/100);(+3/+1/0/-1/-2);Bogen;
D;Windenarmbrust;armbrust_schwer00_LQ.gif;Schusswaffen                  ;2W+6;(10/30/60/100/180);(+4/+2/0/-1/-3);Armbrust;
W;Sklaventot;;Säbel                                         ;1W+4;12/3;0/0;0;3;N;;Säbel;
D;Borndorn;borndorn00_LQ.gif;Wurfwaffen                                 ;1W+2;(2/4/6/8/15);(+1/0/0/0/-1);Wurfmesser;
D;Diskus;;Wurfwaffen                                        ;1W+3;(5/10/20/30/60);(+1/0/0/0/-1);Diskus;
D;Efferdbart (Wurf);efferdbart00_LQ.gif;Wurfwaffen                      ;1W+3;(3/6/10/15/25);(+2/+1/0/-1/-2);Wurfspeere;
D;Fledermaus;;Wurfwaffen                                    ;1W+2;(0/5/10/15/25);(-/0/0/0/-1);Schleuder;
D;Granatapfel;;Wurfwaffen                                   ;4W;(0/5/10/15/20);(-/-/-/-/-);Wurfspeere;
D;Holzspeer;;Wurfwaffen                                     ;1W+2;(5/10/15/25/40);(+1/0/0/-1/-2);Wurfspeere;
D;Kampfdiskus;;Wurfwaffen                                   ;1W+5;(10/20/30/45/60);(+1/0/0/0/0);Diskus;
D;Lasso;;Wurfwaffen                                         ;1W+4;(0/2/5/10/15);(-/0/0/-1/-2);Schleuder;
D;Schleuder;;Wurfwaffen                                     ;1W+2;(0/5/15/25/40);(-/0/0/0/0);Schleuder;
D;Schneidzahn;schneidzahn00_LQ.gif;Wurfwaffen                           ;1W+4;(0/5/10/15/30);(-/+1/+1/0/-1);Wurfbeile;
D;Schweres Wurfnetz;;Wurfwaffen                             ;1W+6;(0/0/0/5/5);(-/-/-/-/-);Schleuder;
D;Speer (Wurf);speer00_LQ.gif;Wurfwaffen                                ;1W+3;(5/10/15/25/40);(+1/0/0/-1/-2);Wurfspeere;
D;Speerschleuder;;Wurfwaffen                                ;1W+3;(5/15/25/35/50);(+2/+1/0/0/-1);Wurfspeere;
D;Stabschleuder;;Wurfwaffen                                 ;1W+3;(0/5/20/40/60);(-/0/0/0/0);Wurfspeere;
D;Stein, Flasche;;Wurfwaffen                                ;(i);1W;(1/2/4/8/12);Wurfbeile;
D;Wurfbeil;wurfbeil00_LQ.gif;Wurfwaffen                                 ;1W+3;(0/5/10/15/25);(-/+1/+1/0/-1);Wurfbeile;
D;Wurfdolch;wurfdolch00_LQ.gif;Wurfwaffen                               ;1W+1;(2/4/6/8/15);(+1/0/0/0/-1);Wurfmesser;
D;Wurfkeule;;Wurfwaffen                                     ;2W+4A;(0/5/15/25/40);(-/+1/+1/+1/0);Wurfbeile;
D;Wurfmesser;wurfmesser00_LQ.gif;Wurfwaffen                             ;1W;(2/4/6/8/15);(+1/0/0/0/-1);Wurfmesser;
D;Wurfnetz;;Wurfwaffen                                      ;1W+2;(0/0/0/5/5);(-/-/-/-/-);Schleuder;
D;Wurfnetz, schwer;;Wurfwaffen								;1W+6;(0/0/0/5/5);(-/-/-/-/-);Schleuder;
D;Wurfscheibe;;Wurfwaffen                             ;1W+1;(2/4/8/12/20);(+1/0/0/0/0);Wurfmesser;
D;Wurfring;;Wurfwaffen                             ;1W+1;(2/4/8/12/20);(+1/0/0/0/0);Wurfmesser;
D;Wurfstern;;Wurfwaffen                             ;1W+1;(2/4/8/12/20);(+1/0/0/0/0);Wurfmesser;

D;Wurfspeer;wurfspeer00_LQ.gif;Wurfwaffen                               ;1W+4;(5/10/15/25/40);(+3/+1/0/-1/-1);Wurfspeere;
W;Wurfspeer;wurfspeer00_LQ.gif;Wurfwaffen                               ;1W+3;11/5;-1/-3;-2;4;N;;Speere;

S;Hummerschere;;Parierwaffe									;-2/1;-1;4;P;Raufen;
S;Kriegsfächer;;Parierwaffe									;0/2;1;3;P;Raufen;
S;Kriegsfächer (Dornen);;Parierwaffe						;0/2;1;1;P;Raufen;
S;Kriegsfächer (Vollmetall);;Parierwaffe					;0/2;1;1;P;Raufen;
S;Legionärsschild;;Schilde									;-2/4;-1;2;S;Raufen;

S;Bock;;Parierwaffe                                         ;-1/1;0;0;SP;Raufen;
S;Großer Buckler;;Parierwaffe                               ;0/2;0;-2;SP;Raufen;
S;Hakendolch;;Parierwaffe                                   ;-1/3;0;-2;P;Dolche;
S;Linkhand;linkhand00_LQ.gif;Parierwaffe                                ;0/2;1;0;P;Dolche;
S;Linkhand mit Klingenfänger;linkhand00_LQ.gif;Parierwaffe              ;0/2;1;0;P;Dolche;
S;Linkhand und Klingenbrecher;linkhand00_LQ.gif;Parierwaffe             ;0/2;1;0;P;Dolche;
S;Panzerarm;;Parierwaffe                                    ;-2/1;0;-2;SP;Raufen;
S;Buckler;buckler00_LQ.gif;Schilde                                      ;0/1;0;0;SP;Raufen;
S;Einfacher Holzschild;holzschild00_LQ.gif;Schilde                      ;-1/-3;-1;3;S;Raufen;
S;Großschild;;Schilde                                       ;-2/5;-2;2;S;Raufen;
S;Lederschild;;Schilde                                      ;-1/3;0;5;S;Raufen;
S;Lederschild (groß);lederschild00_LQ.gif;Schilde                       ;-1/4;-1;6;S;Raufen;
S;Reiterschild;turnierschild00_LQ.gif;Schilde                           ;-2/5;-2;2;S;Raufen;
S;Thorwalerschild;thorwalerschild00_LQ.gif;Schilde                      ;-2/4;-1;3;S;Raufen;
S;Turmschild;;Schilde                                       ;-5/7;-3;1;S;Raufen;
S;Verstärkter Holzschild;holzschild_verstaerkt01_LQ.gif;Schilde         ;-2/3;-1;0;S;Raufen;
S;Vollmetallbuckler;;Schilde                                ;0/2;0;-2;SP;Raufen;
M;Octavo;octavo01_LQ.gif;Bücher                                         ;
M;Pergamente;pergamente00_LQ.gif;Bücher                                 ;
M;Quarto;quarto01_LQ.gif;Bücher                                         ;
M;Essbesteck;essbesteck00_LQ.gif;Essutensilien                          ;
M;Napf - Löffel;napf_loeffel00_LQ.gif;Essutensilien                     ;
M;Teekocher;teekocher00_LQ.gif;Essutensilien                            ;
M;Teller - Löffel aus Zinn;teller_loeffel00_LQ.gif;Essutensilien        ;
M;Fernrohr;fernrohr00_LQ.gif;Feinmechanik                               ;
M;Kompass;kompass00_LQ.gif;Feinmechanik                                 ;
M;Pfeife;pfeife00_LQ.gif;Freizeitbedarf                                 ;
M;Spielkarten;spielkarten00_LQ.gif;Freizeitbedarf                       ;
M;Würfel - Becher;wuerfel00_LQ.gif;Freizeitbedarf                       ;
M;Blendlaterne;blendlaterne00_LQ.gif;Illumination                       ;
M;Feuerstein Stahl;feuerstein_stahl00_LQ.gif;Illumination               ;
M;Kerzen;kerzen00_LQ.gif;Illumination                                   ;
M;Kerzenlaterne;laterne00_LQ.gif;Illumination                           ;
