#Name;Type;Download;Kategorie
Knochenhelm;blau;knochenhelm00_LQ.gif;magische Artefakte
Hüftköcher 20 Bolzen;gruen;koecher_hueft00_LQ.gif;Köcher
Hüftköcher 20 Pfeile;gruen;koecher_hueft01_LQ.gif;Köcher
Rückenköcher 20 Pfeile;gruen;koecher_ruecken00_LQ.gif;Köcher
Rückenköcher 20 Bolzen;gruen;koecher_ruecken01_LQ.gif;Köcher
Kompass;rot;kompass00_LQ.gif;Feinmechanik
Kompositbogen;gelb;kompositbogen00_LQ.gif;Schusswaffen
Korb für 20 Stein;gruen;korb00_LQ.gif;Kisten
Korspieß;gelb;korspiess00_LQ.gif;Infanteriewaffen
Kriegshammer;gelb;kriegshammer00_LQ.gif;Zweihandhiebwaffen und -flegel
Kristallkugel;blau;kristallkugel00_LQ.gif;magische Artefakte
Krötenhaut;gelb;kroetenhaut00_LQ.gif;Rüstungen
Kürass;gelb;kuerass00_LQ.gif;Rüstungen
Kurzbogen;gelb;kurzbogen00_LQ.gif;Schusswaffen
Kurzbogen;gelb;kurzbogen01_LQ.gif;Schusswaffen
Kurzschwert;gelb;kurzschwert00_LQ.gif;Schwerter
Lampenöl;gruen;lampenoel00_LQ.gif;Flaschen
Elfenbogen;gelb;langbogen00_LQ.gif;Schusswaffen
Langbogen;gelb;langbogen01_LQ.gif;Schusswaffen
Langdolch;gelb;langdolch00_LQ.gif;Dolche
(Lang-)Schwert;gelb;langschwert00_LQ.gif;Schwerter
(Lang-)Schwert;gelb;langschwert01_LQ.gif;Schwerter
Kriegslanze;gelb;lanze_krieg00_LQ.gif;Speere und Stäbe
Turnierlanze;gelb;lanze_turnier00_LQ.gif;Speere und Stäbe
Kerzenlaterne;rot;laterne00_LQ.gif;Illumination
Laute;rot;laute00_LQ.gif;Instrumente
Ledergürtel;grau;lederguertel00_LQ.gif;Sonstiges Grau
Ledergürtel;grau;lederguertel01_LQ.gif;Sonstiges Grau
Ledergürtel;grau;lederguertel02_LQ.gif;Sonstiges Grau
Lederhelm;gelb;lederhelm00_LQ.gif;Helme
Lederhut;grau;lederhut00_LQ.gif;Kopfbedeckung
Lederhut;grau;lederhut01_LQ.gif;Kopfbedeckung
Lederranzen fasst 200 Unzen;gruen;lederranzen00_LQ.gif;Taschen
Lederharnisch;gelb;lederruestung00_LQ.gif;Rüstungen
Lederschild (groß);gelb;lederschild00_LQ.gif;Schilde
Armschiene, Leder;gelb;lederzeug00_LQ.gif;Sonstige Rüstungsteile
Beinschienen, Leder;gelb;lederzeug00_LQ.gif;Sonstige Rüstungsteile
Lendenschurz;grau;lendenschurz00_LQ.gif;Unten
Lendentuch;grau;lendentuch00_LQ.gif;Sonstiges Grau
Lindwurmschläger;gelb;lindwurmschlaeger00_LQ.gif;Hiebwaffen
Lindwurmschläger;gelb;lindwurmschlaeger01_LQ.gif;Hiebwaffen
Lindwurmschläger;gelb;lindwurmschlaeger02_LQ.gif;Hiebwaffen
Linkhand;gelb;linkhand00_LQ.gif;Dolche
Linkhand;gelb;linkhand01_LQ.gif;Dolche
Magierhut;grau;magierhut00_LQ.gif;Kopfbedeckung
Magierhut;grau;magierhut01_LQ.gif;Kopfbedeckung
Magierstab;gelb;magierstab00_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab01_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab02_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab03_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab04_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab05_LQ.gif;Speere und Stäbe
Magierstab;gelb;magierstab06_LQ.gif;Speere und Stäbe
Ledermantel;grau;mantel_leder00_LQ.gif;Oben
Mengbilar;gelb;mengbillar00_LQ.gif;Dolche
Messer;gelb;messer00_LQ.gif;Dolche
Messer;gelb;messer01_LQ.gif;Dolche
Messer;gelb;messer02_LQ.gif;Dolche
Morgenstern;gelb;morgenstern00_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern01_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern02_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern03_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern04_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern05_LQ.gif;Kettenwaffen
Morgenstern;gelb;morgenstern06_LQ.gif;Kettenwaffen
Morion;gelb;morion_leicht00_LQ.gif;Helme
Nadel - Garn;rot;nadel_garn00_LQ.gif;Werkzeuge
Nägel;rot;naegel00_LQ.gif;Werkzeuge
Napf - Löffel;rot;napf_loeffel00_LQ.gif;Essutensilien
Ochsenherde;gelb;ochsenherde00_LQ.gif;Kettenwaffen
Ochsenherde;gelb;ochsenherde01_LQ.gif;Kettenwaffen
Ochsenherde;gelb;ochsenherde02_LQ.gif;Kettenwaffen
Octavo;rot;octavo00_LQ.gif;Bücher
Octavo;rot;octavo01_LQ.gif;Bücher
Öllampe;rot;oellampe00_LQ.gif;Illumination
Ogerschelle;gelb;ogerschelle00_LQ.gif;Kettenwaffen
Ogerschelle;gelb;ogerschelle01_LQ.gif;Kettenwaffen
Ogerschelle;gelb;ogerschelle02_LQ.gif;Kettenwaffen
Blattohrringe aus Silber;blau;ohrringe00_LQ.gif;Schmuck
Orknase;gelb;orknase00_LQ.gif;Zweihandhiebwaffen und -flegel
Orknase;gelb;orknase01_LQ.gif;Zweihandhiebwaffen und -flegel
Orknase;gelb;orknase02_LQ.gif;Zweihandhiebwaffen und -flegel
Orknase;gelb;orknase03_LQ.gif;Zweihandhiebwaffen und -flegel
Packkiste fasst 600 Unzen;gruen;packkiste00_LQ.gif;Kisten
Paradiesvogelfeder;blau;paradies00_LQ.gif;magische Artefakte
Partisane;gelb;partisane01_LQ.gif;Infanteriewaffen
Peitsche;gelb;peitsche00_LQ.gif;Kettenwaffen
Pergamente;rot;pergamente00_LQ.gif;Bücher
Pfeife;rot;pfeife00_LQ.gif;Freizeitbedarf
Phex-Amulett;blau;phexamulett00_LQ.gif;Schmuck
Phiole 5 Flux;gruen;phiole00_LQ.gif;Flaschen
Phiolenkästchen;gruen;phiolenkaestchen00_LQ.gif;Kisten
Phiolentasche;gruen;phiolentasche00_LQ.gif;Taschen
Plattenzeug;gelb;plattenzeug00_LQ.gif;Sonstige Rüstungsteile
Leichte Platte;gelb;platte_leicht00_LQ.gif;Rüstungen
Garether Platte;gelb;platte_leicht00_LQ.gif;Rüstungen
Proviant;rot;proviant00_LQ.gif;Nahrung
Quarto;rot;quarto00_LQ.gif;Bücher
Quarto;rot;quarto01_LQ.gif;Bücher
Rabenschnabel;gelb;rabenschnabel00_LQ.gif;Hiebwaffen
Rapier;gelb;rapier01_LQ.gif;Fechtwaffen
Rapier;gelb;rapier02_LQ.gif;Fechtwaffen
Rasiermesser;rot;rasiermesser00_LQ.gif;Körperpflege
Reitermantel;grau;reitermantel00_LQ.gif;Oben
Ring aus Gold;blau;ring00_LQ.gif;Schmuck
Ring aus Silber;blau;ring01_LQ.gif;Schmuck
Ringe aus Gold;blau;ring02_LQ.gif;Schmuck
Ringelpanzer;gelb;ringelpanzer00_LQ.gif;Rüstungen
Robe;grau;robe00_LQ.gif;Oben
Boronirobe Bishdariel;grau;robe_boroni00_LQ.gif;Oben
Boronirobe Golgari;grau;robe_boroni01_LQ.gif;Oben
Robe aus Brokat;grau;robe_brokat00_LQ.gif;Oben
Rock;grau;rock00_LQ.gif;Unten
Rock Seide;grau;rock01_LQ.gif;Unten
Rondrakamm;gelb;rondrakamm00_LQ.gif;Anderthalbhänder
Rondrakamm;gelb;rondrakamm01_LQ.gif;Anderthalbhänder
Lederrucksack fasst 400 Unzen;gruen;rucksack_leder00_LQ.gif;Taschen
Rückengurt;grau;rueckengurt00_LQ.gif;Sonstiges Grau
Rückengurt;grau;rueckengurt01_LQ.gif;Sonstiges Grau
Rückengurt mit Gürtel;grau;rueckengurt_guertel00_LQ.gif;Sonstiges Grau
Rückengurt mit Gürtel;grau;rueckengurt_guertel01_LQ.gif;Sonstiges Grau
Rückenscheide;grau;rueckenscheide00_LQ.gif;Sonstiges Grau
Säbel;gelb;saebel00_LQ.gif;Säbel
Säbel;gelb;saebel01_LQ.gif;Säbel
Kusliker Säbel;gelb;saebel_kusliker00_LQ.gif;Säbel
Kusliker Säbel;gelb;saebel_kusliker01_LQ.gif;Säbel
Satteltaschen fassen je 400 Unzen;gruen;satteltaschen00_LQ.gif;Taschen
Schaufel;rot;schaufel00_LQ.gif;Werkzeuge
Dolchscheide;grau;scheide_dolch00_LQ.gif;Sonstiges Grau
Dolchscheide;grau;scheide_dolch01_LQ.gif;Sonstiges Grau
Dolchscheide;grau;scheide_dolch02_LQ.gif;Sonstiges Grau
Schlapphut;grau;schlapphut00_LQ.gif;Kopfbedeckung
Schlüssel;blau;schluessel00_LQ.gif;Sonstiges Blau
Schmuckkästchen;gruen;schmuckkasten00_LQ.gif;Kisten
Schneidzahn;gelb;schneidzahn01_LQ.gif;Wurfwaffen
Schreibzeug;rot;schreibzeug00_LQ.gif;Schreibwaren
Lederschuhe;grau;schuhe00_LQ.gif;Schuhe
Spangenschuhe;grau;schuhe_spangen00_LQ.gif;Schuhe
Schuppenpanzer;gelb;schuppenpanzer00_LQ.gif;Rüstungen
Schwertgurt;grau;schwertgurt00_LQ.gif;Sonstiges Grau
Seife;rot;seife00_LQ.gif;Körperpflege
Hanfseil;rot;seil00_LQ.gif;Reisebedarf
Kletterseil;rot;seil01_LQ.gif;Reisebedarf
Sichel;gelb;sichel00_LQ.gif;Hiebwaffen
Siegelstock mit Wachs;rot;siegelstock_wachs00_LQ.gif;Sonstiges Rot
Siegelstock mit Wachs;rot;siegelstock_wachs01_LQ.gif;Sonstiges Rot
Skraja;gelb;skraja00_LQ.gif;Hiebwaffen
Speer;gelb;speer00_LQ.gif;Speere und Stäbe
Spielkarten;rot;spielkarten00_LQ.gif;Freizeitbedarf
Fellstiefel aus Bärenfell;grau;stiefel_fell00_LQ.gif;Schuhe
Fellstiefel aus Dachsfell;grau;stiefel_fell01_LQ.gif;Schuhe
Halbstiefel;grau;stiefel_halb00_LQ.gif;Schuhe
Schnürstiefel;grau;stiefel_schnuer00_LQ.gif;Schuhe
Stulpenstiefel;grau;stiefel_stulpen00_LQ.gif;Schuhe
Stulpenstiefel;grau;stiefel_stulpen01_LQ.gif;Schuhe
Stulpenstiefel;grau;stiefel_stulpen02_LQ.gif;Schuhe
Stulpenstiefel;grau;stiefel_stulpen03_LQ.gif;Schuhe
Stockdegen;gelb;stockdegen00_LQ.gif;Fechtwaffen
Streitaxt;gelb;streitaxt00_LQ.gif;Hiebwaffen
Streitaxt;gelb;streitaxt01_LQ.gif;Hiebwaffen
Streitaxt;gelb;streitaxt02_LQ.gif;Hiebwaffen
Streitaxt;gelb;streitaxt03_LQ.gif;Hiebwaffen
Streitkolben;gelb;streitkolben00_LQ.gif;Hiebwaffen
Streitkolben;gelb;streitkolben01_LQ.gif;Hiebwaffen
Streitkolben;gelb;streitkolben02_LQ.gif;Hiebwaffen
Strickleiter;rot;strickleiter00_LQ.gif;Werkzeuge
Strümpfe;grau;struempfe00_LQ.gif;Sonstiges Grau
Sturmhaube;gelb;sturmhaube00_LQ.gif;Helme
Teekocher;rot;teekocher00_LQ.gif;Essutensilien
Teller - Löffel aus Zinn;rot;teller_loeffel00_LQ.gif;Essutensilien
Thorwalerschild;gelb;thorwalerschild00_LQ.gif;Schilde
Thorwalerschild;gelb;thorwalerschild01_LQ.gif;Schilde
Thorwalerschild;gelb;thorwalerschild02_LQ.gif;Schilde
Thorwalerschild;gelb;thorwalerschild03_LQ.gif;Schilde
Tiegel aus Elfenbein;gruen;tiegel00_LQ.gif;Sonstiges Grün
Topfhelm;gelb;topfhelm00_LQ.gif;Helme
Topfhelm;gelb;topfhelm01_LQ.gif;Helme
Trinkhorn 1 Schank;gruen;trinkhorn00_LQ.gif;Flaschen
Trinkpokal Zinn;gruen;trinkpokal00_LQ.gif;Sonstiges Grün
Tunika;grau;tunika00_LQ.gif;Oben
Turban;grau;turban00_LQ.gif;Kopfbedeckung
Reiterschild;gelb;turnierschild00_LQ.gif;Schilde
Tuzakmesser;gelb;tuzakmesser00_LQ.gif;Anderthalbhänder
Umhängetasche fasst 300 Unzen;gruen;umhaengetasche00_LQ.gif;Taschen
Umhängetasche fasst 300 Unzen;gruen;umhaengetasche01_LQ.gif;Taschen
Umhängetasche;gruen;umhaengetasche02_LQ.gif;Taschen
Umhängetasche;gruen;umhaengetasche03_LQ.gif;Taschen
Umhängetasche;gruen;umhaengetasche04_LQ.gif;Taschen
Umhang "Phexenslist";grau;umhang00_LQ.gif;Oben
Umhang;grau;umhang01_LQ.gif;Oben
Umhang;grau;umhang02_LQ.gif;Oben
Fellumhang;grau;umhang03_LQ.gif;Oben
Fellumhang Bärenfell;grau;umhang04_LQ.gif;Oben
Kapuzenumhang;grau;umhang05_LQ.gif;Oben
Umhang mit Pelz;grau;umhang06_LQ.gif;Oben
Wappenrock;grau;wappenrock00_LQ.gif;Oben
Wappenrock;grau;wappenrock01_LQ.gif;Oben
Waqqif;gelb;waqqif00_LQ.gif;Dolche
Waqqif;gelb;waqqif01_LQ.gif;Dolche
Wasserschlauch 1 Maß;gruen;wasserschlauch00_LQ.gif;Flaschen
Wasserschlauch 5 Schank;gruen;wasserschlauch01_LQ.gif;Flaschen
Wasserschlauch;gruen;wasserschlauch02_LQ.gif;Flaschen
Tsas Weidenstab;blau;weidenstab00_LQ.gif;magische Artefakte
Brokatweste;grau;weste00_LQ.gif;Oben
Lederweste;grau;weste01_LQ.gif;Oben
Weste;grau;weste02_LQ.gif;Oben
Wirselkraut;rot;wirselkraut00_LQ.gif;Kräuter
Wolfsmesser;gelb;wolfsmesser00_LQ.gif;Fechtwaffen
Wolldecke 3 x 9 Spann;rot;wolldecke00_LQ.gif;Reisebedarf
Wolldecke 6 x 10 Spann;rot;wolldecke01_LQ.gif;Reisebedarf
dicke Wolldecke 6 x 9 Spann;rot;wolldecke02_LQ.gif;Reisebedarf
Würfel - Becher;rot;wuerfel00_LQ.gif;Freizeitbedarf
Wurfbeil;gelb;wurfbeil00_LQ.gif;Wurfwaffen
Wurfdolch;gelb;wurfdolch00_LQ.gif;Wurfwaffen
Wurfdolch;gelb;wurfdolch01_LQ.gif;Wurfwaffen
Wurfhaken;rot;wurfhaken00_LQ.gif;Werkzeuge
Wurfmesser;gelb;wurfmesser00_LQ.gif;Wurfwaffen
Wurfspeer;gelb;wurfspeer00_LQ.gif;Wurfwaffen
Wurfspeer;gelb;wurfspeer01_LQ.gif;Wurfwaffen
Wurfspeer;gelb;wurfspeer02_LQ.gif;Wurfwaffen
Zweimannzelt;rot;zelt00_LQ.gif;Reisebedarf
Zunderbüchse;gruen;zunderbuechse00_LQ.gif;Kisten
Zunderkästchen;gruen;zunderkasten00_LQ.gif;Kisten
Zweihänder;gelb;zweihaender00_LQ.gif;Zweihandschwerter und -säbel
Zweihänder;gelb;zweihaender01_LQ.gif;Zweihandschwerter und -säbel
Zweihänder;gelb;zweihaender02_LQ.gif;Zweihandschwerter und -säbel
Zweihänder;gelb;zweihaender03_LQ.gif;Zweihandschwerter und -säbel
Zweihänder;gelb;zweihaender04_LQ.gif;Zweihandschwerter und -säbel
Zweililien;gelb;zweililien00_LQ.gif;Speere und Stäbe
